character1,character2,relation,note
Tav,Shadowheart,4 - liking,Mutual trust growing through shared trials
Tav,Lae'zel,5 - neutrality,Respect but occasional clashes
Tav,Gale,3 - friendship,Friendly connection over intellect and kindness
Tav,Astarion,2 - attraction,Dangerous attraction and curiosity
Tav,Wyll,3 - friendship,Mutual respect and camaraderie
Tav,Karlach,9 - strong liking,Strong friendship and shared values
Tav,Halsin,4 - liking,Calm respect and appreciation
Tav,Minthara,10 - it’s complicated,Complex history tied to choices and morality
Shadowheart,Tav,4 - liking,Grows to trust Tav as leader
Shadowheart,Lae'zel,6 - dislike,Religious and moral tension
Shadowheart,Gale,3 - friendship,Mutual care and intellectual rapport
Shadowheart,Astarion,5 - neutrality,"Occasional flirtation, uncertain trust"
Shadowheart,Wyll,4 - liking,Respects his honor and sense of justice
Shadowheart,Karlach,3 - friendship,Good-natured friendship
Shadowheart,Halsin,4 - liking,Respects his wisdom and healing nature
Shadowheart,Minthara,7 - hatred,Opposed faiths and ideals
Lae'zel,Tav,5 - neutrality,Respects strength and leadership
Lae'zel,Shadowheart,7 - hatred,Faith-based animosity
Lae'zel,Gale,6 - dislike,Finds his talk tiresome
Lae'zel,Astarion,6 - dislike,Distrusts his motives
Lae'zel,Wyll,4 - liking,Acknowledges his bravery
Lae'zel,Karlach,3 - friendship,Mutual warriors’ respect
Lae'zel,Halsin,5 - neutrality,Sees him as an ally of convenience
Lae'zel,Minthara,9 - strong liking,Shared martial focus and ruthlessness
Gale,Tav,3 - friendship,Enjoys conversation and teamwork
Gale,Shadowheart,3 - friendship,Gentle admiration
Gale,Lae'zel,6 - dislike,Her bluntness annoys him
Gale,Astarion,5 - neutrality,Tense but professional
Gale,Wyll,4 - liking,Academic respect
Gale,Karlach,4 - liking,Friendly and supportive
Gale,Halsin,3 - friendship,Shared magical curiosity
Gale,Minthara,8 - fear,Fears her zeal and cruelty
Astarion,Tav,2 - attraction,Flirtation mixed with manipulation
Astarion,Shadowheart,5 - neutrality,"Mild interest, wary of her devotion"
Astarion,Lae'zel,6 - dislike,Tense competition
Astarion,Gale,6 - dislike,Jealous rivalry
Astarion,Wyll,4 - liking,Occasional cooperation
Astarion,Karlach,9 - strong liking,Unlikely but loyal friendship
Astarion,Halsin,4 - liking,"Playful banter, underlying trust"
Astarion,Minthara,3 - friendship,Shared darkness and ambition
Wyll,Tav,3 - friendship,Trusts and respects leader
Wyll,Shadowheart,4 - liking,Mutual faith in doing good
Wyll,Lae'zel,4 - liking,Battle respect
Wyll,Gale,4 - liking,Enjoys his tales and wit
Wyll,Astarion,5 - neutrality,Uneasy but useful alliance
Wyll,Karlach,9 - strong liking,Deep bond and affection
Wyll,Halsin,3 - friendship,Respects his healing powers
Wyll,Minthara,7 - hatred,Condemns her cruelty
Karlach,Tav,9 - strong liking,Sees Tav as chosen family
Karlach,Shadowheart,3 - friendship,Supportive friendship
Karlach,Lae'zel,3 - friendship,Respects her strength
Karlach,Gale,4 - liking,Finds him kind and funny
Karlach,Astarion,9 - strong liking,Best friends despite differences
Karlach,Wyll,9 - strong liking,Romantic affection possible
Karlach,Halsin,3 - friendship,liking his calm presence
Karlach,Minthara,6 - dislike,Disliking her cold demeanor
Halsin,Tav,4 - liking,Respect and quiet admiration
Halsin,Shadowheart,3 - friendship,Guides her in faith and balance
Halsin,Lae'zel,5 - neutrality,Sees her as fierce ally
Halsin,Gale,3 - friendship,Friendly scholarly talks
Halsin,Astarion,4 - liking,Offers him understanding
Halsin,Wyll,3 - friendship,Appreciates his courage
Halsin,Karlach,3 - friendship,Gentle friendship
Halsin,Minthara,7 - hatred,Opposes her cruelty
Minthara,Tav,10 - it’s complicated,Tangled loyalty and attraction
Minthara,Shadowheart,7 - hatred,Religious rivalry
Minthara,Lae'zel,9 - strong liking,Admiration for her discipline
Minthara,Gale,8 - fear,Distrusts his morality
Minthara,Astarion,3 - friendship,Kindred ambition
Minthara,Wyll,7 - hatred,Views him as naive idealist
Minthara,Karlach,6 - dislike,Respects her strength but disagrees
Minthara,Halsin,7 - hatred,Sees him as weak pacifist
